UC_ID | Tier | Val_IT | Raw_Tools | Tools_Tags | Desc snippet
UC_0169 | Medium | True | nan |  | "Proactive Capitalization Management Tool for Lessons Learned via Generative AI\n\nThe starting poin
UC_0170 | Medium | False | nan |  | 'Use Case: AI-Powered Recovery of Overpayment Notices\n\nObjective: Automate data extraction (Patien
UC_0171 | Large | False | Python on DataStudio | Python on DataStudio | 'I was thinking about an AI tool that uses Machine Learning and satellite imagery (like Google Earth
UC_0172 | Medium | False | Appsheet, Gemini (Prompts / Gems), Workspace Studio (ex Flows) | AppSheet, Gemini Prompts/Gems, Workspace Studio | 'Extract exact data ( the names, the dates, the amounts, the currency, the explanation)  from differ
UC_0173 | Small | False | App Script (app), Gemini (Prompts / Gems), Workspace Studio (ex Flows) | App Script, Gemini Prompts/Gems, Workspace Studio | 'Analyze more than 20 K PDF delivery notes and detect if they have been signed by the customer or no
UC_0174 | Small | False | App Script (app), Workspace Studio (ex Flows) | App Script, Workspace Studio | 'Currently transferring a lot of legacy models to g-sheet. Instead of emailing crucial information t
UC_0175 | Medium | True | Advance Coding | Advance Coding | 'Python-based automation tool. For compressing or extracting data from large volumes of documents an
UC_0176 | Medium | False | NotebookLM, App Script (app) | App Script, NotebookLM | 'I created a internal logistics and customer management tool specifically designed for Airgas operat
UC_0177 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'We developed a technical-economic model to calculate the Total Cost of Ownership (TCO) for intercon
UC_0178 | Medium | True | Advance Coding | Advance Coding | 'To ensure the long-term viability of our intercontinental low-carbon energy TCO model, we have iden
UC_0179 | Medium | False | nan |  | 'The objective is to send automatically in a standard way the alert of main variance to all the FM a
UC_0180 | Medium | False | AI Studio (app) | AI Studio | 'Post: April 13, 2026\nOur colleague AI Champion, Denis Choquet trusted me this idea to develop the 
UC_0181 | Medium | True | AI Studio (app), Advance Coding | AI Studio, Advance Coding | 'Post: April 13, 2026\n   Based on a comprehensive project idea prepared by our TCL, Bertrand Muntan
UC_0182 | Large | True | Advance Coding, AI Studio (app) | AI Studio, Advance Coding | 'AR Email to Match \n\nThis project aims to implement a Gemini-powered service to automate the Accou
UC_0183 | Large | True | AI Studio (app), Advance Coding, Python on DataStudio, App Script (app), Gemini (Prompts / Gems) | AI Studio, Advance Coding, App Script, Gemini Prompts/Gems, Python on DataStudio | 'Design and implement an end-to-end automated Cash Application system that streamlines the reconcili
UC_0184 | Medium | True | AI Studio (app), Advance Coding, Python on DataStudio, App Script (app), Gemini (Prompts / Gems) | AI Studio, Advance Coding, App Script, Gemini Prompts/Gems, Python on DataStudio | 'Design and implement an automated data extraction and analysis pipeline that identifies potential d
UC_0185 | Medium | True | AI Studio (app), Advance Coding, Python on DataStudio, App Script (app), Gemini (Prompts / Gems) | AI Studio, Advance Coding, App Script, Gemini Prompts/Gems, Python on DataStudio | 'Transform the intercompany reconciliation process from a reactive, month-end manual task into a pro
UC_0186 | Small | False | App Script (app) | App Script | 'Speciality Gases Order Processing Hub - This document is the central point for tracking all incomin
UC_0187 | Small | False | App Script (app) | App Script | 'RSD is a collaborative web platform dedicated to reporting and managing hazardous situations in ind
UC_0188 | Medium | True | Python on Power BI (Fabric), Power BI (app), Gemini (Prompts / Gems) | Gemini Prompts/Gems, Power BI, Python on Fabric | 'In the US, transaction taxes are primarily determined based on the HERMES code that is used when cr
UC_0189 | Large | True | Power BI (app), Advance Coding | Advance Coding, Power BI | "This conversational AI agent serves as a seamless bridge between Google's Gemini models (2.5 Flash 
UC_0190 | Medium | False | App Script (app) | App Script | 'Detect anomaly from data in Google sheet'
UC_0191 | Medium | True | Advance Coding | Advance Coding | 'Market intelligence - maret share digital twins for each major product of Air Liquide/Airgas: a wha
UC_0192 | Small | False | Advance Coding | Advance Coding | 'GBS HR APAC Content Creator - Text formatter to aid create GBS HR APAC communication contents such 
UC_0193 | Medium | True | Advance Coding | Advance Coding | 'SD Ticket Dashboard - Automatically generate ticket dashboard via uploading raw SNOW report'
UC_0194 | Small | False | App Script (app) | App Script | "GForm Email Notification - Once survey response was received, trigger Appscript to notify responder
UC_0195 | Small | False | Advance Coding | Advance Coding | 'GBS HR APAC Redacter - HTML App. Upload PDF file, redact and download redacted PDF. Redacted info i
UC_0196 | Small | False | Advance Coding | Advance Coding | 'Excel HTML Stripper - Upload an Excel file to remove all HTML tags and styling from cell content.'
UC_0197 | Small | False | NotebookLM, Gemini (Prompts / Gems) | Gemini Prompts/Gems, NotebookLM | 'SOP/JA/DTP Creator - Using GEM + NotebookLM to aid SOP/JA/DTP document generation'
UC_0198 | Small | False | Advance Coding | Advance Coding | 'GBS HR APAC [SD] Email Scanner - To scan SD group email for ticket related email conversations with
UC_0199 | Medium | True | App Script (app), Advance Coding, Web App/Internal Platform, Gemini (Prompts / Gems) | Advance Coding, App Script, Gemini Prompts/Gems, Web App/Platform | 'Use Case: Automated Sales Data Cleansing & Forecast Injection\n\n1. Brief Description\nThis system 
UC_0200 | Medium | True | App Script (app) | App Script | 'Using Google maps in Appscript to clean customers delivery addresses coordinates in SAP. '
UC_0201 | Medium | True | App Script (app), Gemini (Prompts / Gems), Advance Coding, Web App/Internal Platform | Advance Coding, App Script, Gemini Prompts/Gems, Web App/Platform | 'Use Case: Automated TIER II Chemical Inventory Validation & Sign-Off\n\n1. Brief Description\nThis 
UC_0202 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Using Gemini Gem to identify from emails and packing list for each project the HS code that are rec
UC_0203 | Medium | True | Advance Coding, Gemini (Prompts / Gems) | Advance Coding, Gemini Prompts/Gems | 'Gas (i.e H2) Turbine dimensioning tool, for the purpose of learning what are the main parameters of
UC_0204 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Gem - IP engineer from the European Patent Office \nWhat it does: Provide insights if patent reques
UC_0205 | Medium | True | Gemini (Prompts / Gems), Web App/Internal Platform | Gemini Prompts/Gems, Web App/Platform | 'Generate chatbot for the Sales Representatives to transcribe their needs in the field and translate
UC_0206 | Small | False | nan |  | 'Automate the medical device delivery ordering process from sales representatives, by building a sys
UC_0207 | Small | False | NotebookLM | NotebookLM | 'The Notebooks act as a dynamic documentation layer. They transform our static files—such as product
UC_0208 | Small | False | Workspace Studio (ex Flows) | Workspace Studio | 'Workflow: prepare the meetings of the next 2 days. \nWhat it does: Provide an email every day at 17
UC_0209 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | '"Understand how Gemini works \nWhat it does: explain how generative AI works , in simple words. And
UC_0210 | Small | False | NotebookLM | NotebookLM | '"Construction data base Notebook LM, with the reports of Compass International 2024\nWhat it does: 
UC_0211 | Medium | True | App Script (app), Advance Coding | Advance Coding, App Script | 'This proposal outlines the idea to streamilne the integration of Group Standards from Bluebook Libr
UC_0212 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Build an AI tool that will gather information from multiple sources, and analyze a data set of mont
UC_0213 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Create an AI that will be used to help with real time troubleshooting of shutdowns and reliability 
UC_0214 | Large | True | Gemini (Prompts / Gems), App Script (app), Web App/Internal Platform, NotebookLM | App Script, Gemini Prompts/Gems, NotebookLM, Web App/Platform | 'The Challenge: Our sales representatives (medical delegates) faced a highly fragmented workflow. Pr
UC_0215 | Small | False | App Script (app) | App Script | 'This Google Apps Script solution automates the monthly price adjustment process for medical gas con
UC_0216 | Medium | True | Web App/Internal Platform, Advance Coding | Advance Coding, Web App/Platform | 'Description: A simple tool for Document Control Team, that will analyze .pdf documents and provide 
UC_0217 | Medium | False | App Script (app) | App Script | 'What this tool does:\nThe template Google apps script integrated to g-sheets It automatically sends
UC_0218 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Description\nThe Airgas Pricing Sentinel is a digital revenue integrity tool designed to act as an 
UC_0219 | Large | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Description: The GAS Foundations Mentor is an interactive, pedagogical AI coding assistant designed
UC_0220 | Medium | True | App Script (app), Appsheet, Advance Coding | Advance Coding, App Script, AppSheet | 'Build app using AppSheet to act as a single interface for collections team in replacement of multip
UC_0221 | Medium | True | App Script (app), Web App/Internal Platform, Advance Coding | Advance Coding, App Script, Web App/Platform | '[Prod + Scale up] Price calculation and simulation for ELO-formulas:\nProject Overview/business nee
UC_0222 | Medium | True | Advance Coding | Advance Coding | "Build advanced tool for credit and collections that combines open AR, past due AR, collector status
UC_0223 | Medium | True | App Script (app), Advance Coding | Advance Coding, App Script | 'Create multiple google app script to fill automatically the packing list for Frankfurt service base
UC_0224 | Medium | False | App Script (app) | App Script | 'Joint Idea by Fredrik POMREHN and Manuel FERRO MORALES\nVacuum system tool calculator. HTML based t
UC_0225 | Medium | True | Advance Coding | Advance Coding | 'Heat Pump Concept\n\nUsing public available data, Python tool created to measure the efficiency of 
UC_0226 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Automate the analysis of Air Liquide Assistance intervention reports (extraction of SAP references,
UC_0227 | Small | False | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'Automate the calculation, data analysis and visualization of global warming potential using experim
UC_0228 | Medium | True | Web App/Internal Platform, Advance Coding | Advance Coding, Web App/Platform | 'WebApp to replace repeated Data Entry and need to legacy Access database for QC testing. Currently,
UC_0229 | Small | False | Advance Coding | Advance Coding | 'A tool to create the necessary Logistics Paperwork for Sea or Air Freight. Templates for commerical
UC_0230 | Small | False | App Script (app) | App Script | 'A signage system is proposed that centralizes the management of corporate content through an admini
UC_0231 | Medium | False | App Script (app) | App Script | 'Automating the process of inventory parts requests (from user selection to the input to oracle)'
UC_0232 | Small | False | App Script (app) | App Script | 'Automated reading of PDFs and filling of a standard Google Docs template for women asking permissio
UC_0233 | Medium | True | App Script (app) | App Script | 'DCS Alarm Dashboard on the website from no. 1 (for easier to visualize, link)'
UC_0234 | Medium | False | App Script (app) | App Script | 'Google sheet bulk translator via sideboor tool (link)'
UC_0235 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'ATLAS - HR tool that pairs PI results with resume for pre screening of applicants. Give a compatabi
UC_0236 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Stock Pilot - AI assistant that helps you make smarter inventory and buying decisions in real time.
UC_0237 | Medium | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Demand Variability - Mathematically segment your SKU portfolio using ABC-XYZ analysis to align stoc
UC_0238 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Waldo - pinpoints and located any all part numbers based on a customers request. Searches then for 
UC_0239 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Competitor to Radnor cross Gem that works with pairing Grainger and other competitor part numbers t
UC_0240 | Small | False | Workspace Studio (ex Flows), Gemini (Prompts / Gems), NotebookLM | Gemini Prompts/Gems, NotebookLM, Workspace Studio | 'Project Overview:\n"Werkverbund West" maintains an extensive database of historical on-call operati
UC_0241 | Medium | True | nan | Advance Coding | 'Armin BRANDNER not an AI Devolper, but Manuel FERRO MORALES presenting in his behalf\n\nConceptual 
UC_0242 | Medium | True | Advance Coding | Advance Coding, App Script, Gemini Prompts/Gems, Web App/Platform | 'Build centralized repository for Airgas Gemini Gems/Prompts/Flows that can be shared with the Airga
UC_0243 | Small | False | App Script (app), Gemini (Prompts / Gems), Web App/Internal Platform, Advance Coding | Advance Coding, App Script, Gemini Prompts/Gems | 'Automate the transition from raw bid clarification meeting transcripts to a structured Minute of Me
UC_0244 | Medium | True | Advance Coding, App Script (app), Gemini (Prompts / Gems) | Python on Fabric | 'Deploy in Power BI Power Zones Map tool generated from Data Studio'
UC_0245 | Medium | True | Python on Power BI (Fabric) | Advance Coding, Web App/Platform | 'programming an MCP server for interaction with a technical app. It works fine . I communicate with 
UC_0246 | Small | False | Advance Coding, Web App/Internal Platform | Workspace Studio | 'Automate the information extraction of data from bills received of different formats: 1. RNG produc
UC_0247 | Small | False | Workspace Studio (ex Flows) | App Script, Web App/Platform | '[Prod + Scale up] Contract Signature Management:\nProject Overview/business need:\nContract signatu
UC_0248 | Medium | True | App Script (app), Web App/Internal Platform | App Script, Web App/Platform | 'Creation of a Bulk Tank Readings interactive program that helps send notifcattion of Bulk Losses, c
